iidcolonia,iidentidad,iidalcaldia,iidcodigop,cdescripcion,iestatus
8237,9,1,01000,San Ángel,1
8238,9,1,01010,Los Alpes,1
8239,9,1,01020,Guadalupe Inn,1
8240,9,1,01030,Florida,1
8241,9,1,01030,Axotla,1
8242,9,1,01040,Campestre,1
8243,9,1,01048,Las Águilas,1
8244,9,1,01049,Tlacopac,1
8245,9,1,01050,Ex-Hacienda de Guadalupe Chimalistac,1
8246,9,1,01060,Altavista,1
8247,9,1,01060,San Ángel Inn,1
8248,9,1,01070,Chimalistac,1
8249,9,1,01080,Progreso Tizapan,1
8250,9,1,01089,Ermita Tizapan,1
8251,9,1,01090,Loreto,1
8252,9,1,01090,La Otra Banda,1
8253,9,1,01090,Tizapan,1
8254,9,1,01100,Lomas de Santo Domingo,1
8255,9,1,01100,Pólvora,1
8256,9,1,01109,La Conchita,1
8257,9,1,01110,Ampliación El Capulín,1
8258,9,1,01110,Belém de las Flores,1
8259,9,1,01110,El Capulín,1
8260,9,1,01110,Liberales de 1857,1
8261,9,1,01120,Sears Roebuck,1
8262,9,1,01120,Las Américas,1
8263,9,1,01120,Acueducto,1
8264,9,1,01120,Hidalgo,1
8265,9,1,01120,Cove,1
8266,9,1,01125,Ampliación Acueducto,1
8267,9,1,01130,Paraíso,1
8268,9,1,01130,Molino de Santo Domingo,1
8269,9,1,01130,Molino de Santo Domingo,1
8270,9,1,01130,Real del Monte,1
8271,9,1,01139,Reacomodo Pino Suárez,1
8272,9,1,01140,José Maria Pino Suárez,1
8273,9,1,01140,Bellavista,1
8274,9,1,01150,Cristo Rey,1
8275,9,1,01150,Tolteca,1
8276,9,1,01160,1a Victoria,1
8277,9,1,01160,Bosque,1
8278,9,1,01160,Maria G. de García Ruiz,1
8279,9,1,01160,Isidro Fabela,1
8280,9,1,01170,Abraham M. González,1
8281,9,1,01170,Santa Fe IMSS,1
8282,9,1,01180,8 de Agosto,1
8283,9,1,01180,San Pedro de los Pinos,1
8284,9,1,01180,Carola,1
8285,9,1,01184,Nelli Campo Bello,1
8286,9,1,01200,Arturo Martínez,1
8287,9,1,01210,Santa Fe,1
8288,9,1,01219,Lomas de Santa Fe,1
8289,9,1,01220,Mártires de Tacubaya,1
8290,9,1,01220,Cuevitas,1
8291,9,1,01220,Zenón Delgado,1
8292,9,1,01220,Bonanza,1
8293,9,1,01220,El Cuernito,1
8294,9,1,01220,La Estrella,1
8295,9,1,01230,Campo de Tiro los Gamitos,1
8296,9,1,01230,El Piru Santa Fe,1
8297,9,1,01230,Los Gamitos,1
8298,9,1,01230,Tlapechico,1
8299,9,1,01230,El Piru 2a Ampliación,1
8300,9,1,01239,La Huerta,1
8301,9,1,01240,Pueblo Nuevo,1
8302,9,1,01250,Margarita Maza de Juárez,1
8303,9,1,01250,El Árbol,1
8304,9,1,01250,Ladera,1
8305,9,1,01250,Lomas de Nuevo México,1
8306,9,1,01250,Tecolalco,1
8307,9,1,01259,La Mexicana 2a Ampliación,1
8308,9,1,01259,Ampliación La Cebada,1
8309,9,1,01260,La Palmita,1
8310,9,1,01260,Liberación Proletaria,1
8311,9,1,01260,Ampliación La Mexicana,1
8312,9,1,01260,La Mexicana,1
8313,9,1,01260,Calzada Jalalpa,1
8314,9,1,01269,2a Sección Cañada,1
8315,9,1,01269,1a Sección Cañada,1
8316,9,1,01270,El Tejocote,1
8317,9,1,01270,La Presa,1
8318,9,1,01270,Golondrinas,1
8319,9,1,01270,Golondrinas 1a Sección,1
8320,9,1,01270,Lomas de Capula,1
8321,9,1,01270,Golondrinas 2a Sección,1
8322,9,1,01275,Villa Solidaridad,1
8323,9,1,01276,El Pirul,1
8324,9,1,01278,Desarrollo Urbano,1
8325,9,1,01279,Lomas de Becerra,1
8326,9,1,01280,Arvide,1
8327,9,1,01280,El Pocito,1
8328,9,1,01280,Francisco Villa,1
8329,9,1,01280,Lomas de Becerra,1
8330,9,1,01280,La Joya,1
8331,9,1,01285,El Rodeo,1
8332,9,1,01289,Reacomodo El Cuernito,1
8333,9,1,01290,Presidentes,1
8334,9,1,01290,Piloto Adolfo López Mateos,1
8335,9,1,01296,Ampliación Jalalpa,1
8336,9,1,01296,Jalalpa Tepito,1
8337,9,1,01296,Jalalpa Tepito 2a Ampliación,1
8338,9,1,01298,Ampliación Piloto Adolfo López Mateos,1
8339,9,1,01299,2a Ampliación Presidentes,1
8340,9,1,01299,1a Ampliación Presidentes,1
8341,9,1,01310,San Gabriel,1
8342,9,1,01320,Carlos A. Madrazo,1
8343,9,1,01330,Paseo de las Lomas,1
8344,9,1,01340,Bejero del Pueblo Santa Fe,1
8345,9,1,01376,Santa Fe La Loma,1
8346,9,1,01376,Santa Fe Centro Ciudad,1
8347,9,1,01376,Santa Fe,1
8348,9,1,01376,Santa Fe Peña Blanca,1
8349,9,1,01377,Jalalpa El Grande,1
8350,9,1,01379,Antonio Carrillo Flores,1
8351,9,1,01389,Santa Fe Tlayapaca,1
8352,9,1,01400,Preconcreto,1
8353,9,1,01400,Olivar del Conde 1a Sección,1
8354,9,1,01407,Galeana,1
8355,9,1,01408,Olivar del Conde 2a Sección,1
8356,9,1,01410,Barrio Norte,1
8357,9,1,01410,Palmas,1
8358,9,1,01419,Minas Cristo Rey,1
8359,9,1,01420,Santa María Nonoalco,1
8360,9,1,01420,Sacramento,1
8361,9,1,01430,Colina del Sur,1
8362,9,1,01440,Abeto,1
8363,9,1,01450,Cañada del Olivar,1
8364,9,1,01450,Batallón de San Patricio,1
8365,9,1,01450,Hogar y Redención,1
8366,9,1,01450,Unidad Popular Emiliano Zapata,1
8367,9,1,01460,Alfonso XIII,1
8368,9,1,01470,Alfalfar,1
8369,9,1,01470,Molino de Rosas,1
8370,9,1,01480,Lomas de Plateros,1
8371,9,1,01490,Torres de Mixcoac,1
8372,9,1,01490,La Cascada,1
8373,9,1,01500,Miguel Gaona Armenta,1
8374,9,1,01500,Santa Lucía,1
8375,9,1,01509,Santa Lucía Chantepec,1
8376,9,1,01510,Garcimarrero,1
8377,9,1,01510,Los Cedros,1
8378,9,1,01510,La Araña,1
8379,9,1,01520,Estado de Hidalgo,1
8380,9,1,01520,Piru Santa Lucía,1
8381,9,1,01520,Ampliación Los Pirules,1
8382,9,1,01520,Ampliación Estado de Hidalgo,1
8383,9,1,01520,El Politoco,1
8384,9,1,01530,Corpus Christy,1
8385,9,1,01537,Universal,1
8386,9,1,01538,Tepopotla,1
8387,9,1,01539,Acuilotla,1
8388,9,1,01539,Cooperativa Unión Olivos,1
8389,9,1,01540,Balcones de Cehuayo,1
8390,9,1,01540,Providencia,1
8391,9,1,01540,Llano Redondo,1
8392,9,1,01540,Punta de Cehuaya,1
8393,9,1,01540,Cehuaya,1
8394,9,1,01548,Villa Progresista,1
8395,9,1,01549,Dos Ríos del Pueblo Santa Lucía,1
8396,9,1,01550,Tepeaca,1
8397,9,1,01550,Ampliación Tepeaca,1
8398,9,1,01550,Rinconada Las Cuevitas,1
8399,9,1,01560,Canutillo,1
8400,9,1,01560,Ave Real,1
8401,9,1,01560,Canutillo 3a Sección,1
8402,9,1,01560,Canutillo 2a Sección,1
8403,9,1,01566,Hueytlale,1
8404,9,1,01567,Tepeaca,1
8405,9,1,01569,Reacomodo Valentín Gómez Farías,1
8406,9,1,01588,Tarango,1
8407,9,1,01590,El Rincón,1
8408,9,1,01600,Sociedad Cooperativa Unión Poder Popular,1
8409,9,1,01600,Merced Gómez,1
8410,9,1,01610,Profesor J. Arturo López Martínez,1
8411,9,1,01610,Colinas de Tarango,1
8412,9,1,01618,Arcos Centenario,1
8413,9,1,01618,Ex-Hacienda de Tarango,1
8414,9,1,01619,Rinconada de Tarango,1
8415,9,1,01619,La Martinica,1
8416,9,1,01620,Lomas de Tarango,1
8417,9,1,01630,Puerta Grande,1
8418,9,1,01630,Belém de las Flores,1
8419,9,1,01630,Los Juristas,1
8420,9,1,01630,Lomas de Puerta Grande,1
8421,9,1,01640,Herón Proal,1
8422,9,1,01645,Ponciano Arriaga,1
8423,9,1,01650,Ampliación Tlacuitlapa,1
8424,9,1,01650,2o Reacomodo Tlacuitlapa,1
8425,9,1,01650,La Milagrosa,1
8426,9,1,01650,Palmas Axotitla,1
8427,9,1,01650,Tlacuitlapa,1
8428,9,1,01650,Santa Lucía Chantepec,1
8429,9,1,01650,El Ruedo,1
8430,9,1,01700,2a Del Moral del Pueblo de Tetelpan,1
8431,9,1,01700,San Agustín del Pueblo Tetelpan,1
8432,9,1,01700,La Joyita del Pueblo Tetelpan,1
8433,9,1,01700,Ocotillos del Pueblo Tetelpan,1
8434,9,1,01700,Tetelpan,1
8435,9,1,01700,Tecalcapa del Pueblo Tetelpan,1
8436,9,1,01708,El Mirador del Pueblo Tetelpan,1
8437,9,1,01708,El Encino del Pueblo Tetelpan,1
8438,9,1,01710,Las Águilas,1
8439,9,1,01710,Ampliación Alpes,1
8440,9,1,01720,Lomas de Guadalupe,1
