iidcodigop,iidentidad,iidalcaldia,iestatus
01000,9,1,1
01010,9,1,1
01020,9,1,1
01030,9,1,1
01040,9,1,1
01048,9,1,1
01049,9,1,1
01050,9,1,1
01060,9,1,1
01070,9,1,1
01080,9,1,1
01089,9,1,1
01090,9,1,1
01100,9,1,1
01109,9,1,1
01110,9,1,1
01120,9,1,1
01125,9,1,1
01130,9,1,1
01139,9,1,1
01140,9,1,1
01150,9,1,1
01160,9,1,1
01170,9,1,1
01180,9,1,1
01184,9,1,1
01200,9,1,1
01210,9,1,1
01219,9,1,1
01220,9,1,1
01230,9,1,1
01239,9,1,1
01240,9,1,1
01250,9,1,1
01259,9,1,1
01260,9,1,1
01269,9,1,1
01270,9,1,1
01275,9,1,1
01276,9,1,1
01278,9,1,1
01279,9,1,1
01280,9,1,1
01285,9,1,1
01289,9,1,1
01290,9,1,1
01296,9,1,1
01298,9,1,1
01299,9,1,1
01310,9,1,1
01320,9,1,1
01330,9,1,1
01340,9,1,1
01376,9,1,1
01377,9,1,1
01379,9,1,1
01389,9,1,1
01400,9,1,1
01407,9,1,1
01408,9,1,1
01410,9,1,1
01419,9,1,1
01420,9,1,1
01430,9,1,1
01440,9,1,1
01450,9,1,1
01460,9,1,1
01470,9,1,1
01480,9,1,1
01490,9,1,1
01500,9,1,1
01509,9,1,1
01510,9,1,1
01520,9,1,1
01530,9,1,1
01537,9,1,1
01538,9,1,1
01539,9,1,1
01540,9,1,1
01548,9,1,1
01549,9,1,1
01550,9,1,1
01560,9,1,1
01566,9,1,1
01567,9,1,1
01569,9,1,1
01588,9,1,1
01590,9,1,1
01600,9,1,1
01610,9,1,1
01618,9,1,1
01619,9,1,1
01620,9,1,1
01630,9,1,1
01640,9,1,1
01645,9,1,1
01650,9,1,1
01700,9,1,1
01708,9,1,1
01710,9,1,1
01720,9,1,1
01729,9,1,1
01730,9,1,1
01740,9,1,1
01750,9,1,1
01759,9,1,1
01760,9,1,1
01770,9,1,1
01780,9,1,1
01788,9,1,1
01789,9,1,1
01790,9,1,1
01800,9,1,1
01807,9,1,1
